dt,maxco,nx,ncells,nlayers,tsr,cp,cd,yplus_min,yplus_max,yplus_mean,ddt_scheme
0.002,nan,54,34233,,1.9007468617,0.4477655073,1.2777115669,0.0943361595,4.671856913,1.152714866,Euler
0.002,nan,64,43168,,1.9007468617,0.4650756562,1.2858626166,0.0484555569,3.849265882,0.9675542848,Euler
0.002,nan,72,51772,,1.9007468617,0.4748326062,1.2724082991,0.0418632004,3.417834905,0.8630627439,Euler
0.002,nan,74,53904,,1.9007468617,0.4917048696,1.2847436816,0.0794209734,3.324525029,0.8391806264,Euler
0.002,nan,78,58671,,1.9007468617,0.4928104973,1.281956422,0.0677136275,3.138444439,0.7962907181,Euler
0.002,nan,84,66023,,1.9007468617,0.4907520013,1.2836596738,0.0641151263,2.908379655,0.733489282,Euler
0.002,nan,58,37868,,1.9007468617,0.4566010702,1.2720444038,0.0977127619,4.314418439,1.073399998,Euler
0.002,nan,68,47404,,1.9007468617,0.4760610502,1.2864403803,0.085548428,3.652711082,0.9246930548,Euler
0.002,nan,62,41257,,1.9007468617,0.4682826629,1.2834200676,0.0940439567,4.01192061,1.018078158,Euler
0.002,nan,70,49357,,1.9007468617,0.4865430148,1.2859491103,0.0641690419,3.544131537,0.8963303172,Euler
0.002,nan,80,61238,,1.9007468617,0.496427582,1.286868766,0.0640928079,3.048306458,0.7734502109,Euler
0.002,nan,88,70842,,1.9007468617,0.4898948067,1.2798903731,0.0622317368,2.757702816,0.7017746443,Euler
0.002,nan,70,51293,,1.9007468617,0.505107362,1.2932431888,0.0608129584,2.404108394,0.6401535503,Euler
0.003,nan,70,49357,,1.900767046,0.5489760538,1.3051999845,0.0921376767,3.850851765,0.8457014646,Euler
0.0015,nan,70,49357,,1.9007528786,0.4879658194,1.2817614417,0.0772658124,3.716597194,0.8891752914,Euler
0.00125,nan,70,49357,,1.900760891,0.5042668514,1.2954904265,0.0741685679,3.440972641,0.9389985039,Euler
0.001,nan,70,49357,,1.9007480118,0.5137197823,1.3141298635,0.1154049851,3.664717623,0.9473343221,Euler
0.0009,nan,70,49357,,1.9007497039,0.5217876107,1.3230334059,0.0792196,3.661484063,0.9629380906,Euler
0.0008,nan,70,49357,,1.9007473879,0.5385300979,1.3335302827,0.0800685362,3.406627072,1.003497116,Euler
0.0007,nan,70,49357,,1.9007568865,0.5708064355,1.3453470508,0.1317812982,3.416401743,1.000216912,Euler
0.004,nan,70,49357,,1.9007825977,0.6398319483,1.3417683525,0.096552048,3.76803265,0.8924507892,Euler
0.0035,nan,70,49357,,1.9007244013,0.5911799073,1.3173271446,0.0920708653,3.732780012,0.8773024148,Euler
0.0028,nan,70,49357,,1.9007191529,0.5336024631,1.3000939075,0.0867923386,3.832423012,0.8415887159,Euler
0.0026,nan,70,49357,,1.9007426326,0.5205972969,1.2961754129,0.0928669589,3.819138925,0.8383607947,Euler
0.0024,nan,70,49357,,1.9007325463,0.5095082355,1.2950113217,0.0741785484,3.59424405,0.877973773,Euler
0.0022,nan,70,49357,,1.9007842028,0.4974051877,1.2903481204,0.0705648993,3.573610608,0.8870613994,Euler
0.0018,nan,70,49357,,1.9007658653,0.4812531418,1.2809784559,0.0812400308,3.519017992,0.9013725063,Euler
0.002,nan,70,51293,,1.9007468617,0.505107362,1.2932431888,0.0608129584,2.404108394,0.6401535503,Euler
0.002,nan,88,73270,,1.9007468617,0.4940410158,1.2830467638,0.0513965676,1.901580989,0.494266438,Euler
0.002,nan,70,51293,,1.899844273,0.5099789461,1.2841202188,0.0686324126,2.536229195,0.6220913891,Euler
0.002,nan,44,26589,20,1.9007468617,0.4658433686,1.2994520874,0.065415968,3.959431898,1.006922989,Euler
0.002,nan,54,35727,20,1.9007468617,0.473698441,1.2816298094,0.0749769817,3.134068793,0.8235687306,Euler
0.002,nan,64,44938,20,1.9007468617,0.4861524128,1.2945361123,0.0644017597,2.600574268,0.6937137565,Euler
0.002,nan,70,51293,20,1.9007468617,0.505107362,1.2932431888,0.0608129584,2.404108394,0.6401535503,Euler
0.002,nan,74,55950,20,1.9007468617,0.5085229439,1.2930063603,0.0605199273,2.274478818,0.5974200807,Euler
0.002,nan,84,68339,20,1.9007468617,0.4967146399,1.2844534735,0.0533329774,2.001770561,0.5205084334,Euler
0.002,nan,94,81108,20,1.9007468617,0.5103914643,1.292585352,0.0511336478,1.787715654,0.4604470216,Euler
0.002,nan,28,14757,20,1.9007468617,0.3559107772,1.2695929558,0.2412260978,5.779902765,1.628881175,Euler
0.002,nan,34,18725,20,1.9007468617,0.3989190302,1.2642193174,0.1185370188,4.984509418,1.304619622,Euler
0.002,nan,38,21870,20,1.9007468617,0.4287417026,1.2827212246,0.1187221333,4.608512711,1.159555705,Euler
0.002,nan,42,25075,20,1.9007468617372927,0.4301342211681417,1.267580578564433,0.0944898129,4.108254534,1.05550792,Euler
0.002,nan,48,30236,20,1.9007468617372927,0.46425001183754216,1.2935790271553618,0.05136499333,3.55916502,0.9302570988,Euler
0.002,nan,58,39472,20,1.9007468617372927,0.4821544193215524,1.2813325662479622,0.07015705235,2.904759401,0.7616504706,Euler
0.002,nan,68,49284,20,1.9007468617372927,0.496227132174402,1.294378376667142,0.05817074363,2.478925913,0.6608579983,Euler
0.002,nan,78,60825,20,1.9007468617372927,0.505489816896871,1.2892513538755053,0.05832579115,2.153312515,0.5644723521,Euler
0.002,nan,88,73270,20,1.9007468617372927,0.4940410158266911,1.2830467638144787,0.05139656756,1.901580989,0.494266438,Euler
0.002,nan,98,86796,20,1.9007468617372927,0.4965810998173696,1.2812980511277792,0.03774578285,1.720717519,0.4386006793,Euler
0.004,nan,70,51293,20,1.900782597739,0.6614586300982311,1.3464530983936513,0.05647541978,2.530647805,0.628448989,Euler
0.003,nan,70,51293,20,1.900767045999868,0.5598012135057623,1.3072846531925764,0.06784632236,2.530093288,0.6156497709,Euler
0.0025,nan,70,51293,20,1.9007623269370983,0.5256016881665843,1.3007729039983063,0.07099769147,2.496717501,0.6217440502,Euler
0.002,nan,70,51293,20,1.9007468617372927,0.50510736204499,1.2932431888172902,0.06081295836,2.404108394,0.6401535503,Euler
0.0018,nan,70,51293,20,1.9007658653192878,0.5083716237772052,1.2914468793177196,0.04220681467,2.390415622,0.6453562563,Euler
0.0015,nan,70,51293,20,1.900752878569131,0.5178752429080175,1.3007769172304176,0.05786378563,2.431540786,0.6523513118,Euler
0.001,nan,70,51293,20,1.900748011800444,0.5425516243136314,1.335833269839446,0.06003276659,2.390308993,0.6729715905,Euler
0.0009,nan,70,51293,20,1.9007497038796008,0.5537163244241785,1.3471540237118211,0.06301269236,2.395166566,0.6842815062,Euler
0.0008,nan,70,51293,20,1.900747387885205,0.5775608240042713,1.3535003661349838,0.05581105577,2.335942307,0.700443164,Euler
0.002,nan,70,51293,20,1.9007468617372927,0.5055690751261052,1.294210576043315,0.05869875592,2.404326855,0.6393858336,Euler
